Time(s),HeartRate(1/min),CoreTemperature(degC),SkinTemperature(degC),intensity,atemp_c,rh_pct
0 days 00:00:01.020000,75.0,37.031188,33.11067,0.3333333333333333,24.444444444444443,48.888888888888886
0 days 00:00:02.020000,75.0,37.032309,33.111696,0.3333333333333333,24.444444444444443,48.888888888888886
0 days 00:00:03.020000,76.923077,37.033615,33.112894,0.3333333333333333,24.444444444444443,48.888888888888886
0 days 00:00:04.020000,78.947368,37.034993,33.114095,0.3333333333333333,24.444444444444443,48.888888888888886
0 days 00:00:05.020000,85.714286,37.036397,33.115309,0.3333333333333333,24.444444444444443,48.888888888888886
0 days 00:00:06.020000,85.714286,37.03781,33.116525,0.3333333333333333,24.444444444444443,48.888888888888886
0 days 00:00:07.020000,90.909091,37.039228,33.117726,0.3333333333333333,24.444444444444443,48.888888888888886
0 days 00:00:08.020000,93.75,37.040646,33.118942,0.3333333333333333,24.444444444444443,48.888888888888886
0 days 00:00:09.020000,96.774194,37.042064,33.120166,0.3333333333333333,24.444444444444443,48.888888888888886
0 days 00:00:10.020000,96.774194,37.043482,33.121392,0.3333333333333333,24.444444444444443,48.888888888888886
0 days 00:00:11.020000,100.0,37.044898,33.12263,0.3333333333333333,24.444444444444443,48.888888888888886
0 days 00:00:12.020000,103.448276,37.046314,33.123878,0.3333333333333333,24.444444444444443,48.888888888888886
0 days 00:00:13.020000,103.448276,37.047729,33.125129,0.3333333333333333,24.444444444444443,48.888888888888886
0 days 00:00:14.020000,107.142857,37.049142,33.126392,0.3333333333333333,24.444444444444443,48.888888888888886
0 days 00:00:15.020000,111.111111,37.050555,33.127661,0.3333333333333333,24.444444444444443,48.888888888888886
0 days 00:00:16.020000,111.111111,37.051967,33.128942,0.3333333333333333,24.444444444444443,48.888888888888886
0 days 00:00:17.020000,111.111111,37.05338,33.130213,0.3333333333333333,24.444444444444443,48.888888888888886
0 days 00:00:18.020000,115.384615,37.054792,33.131481,0.3333333333333333,24.444444444444443,48.888888888888886
0 days 00:00:19.020000,115.384615,37.056203,33.132771,0.3333333333333333,24.444444444444443,48.888888888888886
0 days 00:00:20.020000,115.384615,37.057614,33.134056,0.3333333333333333,24.444444444444443,48.888888888888886
0 days 00:00:21.020000,120.0,37.059025,33.135331,0.3333333333333333,24.444444444444443,48.888888888888886
0 days 00:00:22.020000,120.0,37.060434,33.136623,0.3333333333333333,24.444444444444443,48.888888888888886
0 days 00:00:23.020000,120.0,37.061844,33.137911,0.3333333333333333,24.444444444444443,48.888888888888886
0 days 00:00:24.020000,120.0,37.063255,33.139183,0.3333333333333333,24.444444444444443,48.888888888888886
0 days 00:00:25.020000,125.0,37.064663,33.140461,0.3333333333333333,24.444444444444443,48.888888888888886
0 days 00:00:26.020000,125.0,37.066069,33.141764,0.3333333333333333,24.444444444444443,48.888888888888886
0 days 00:00:27.020000,125.0,37.067476,33.143061,0.3333333333333333,24.444444444444443,48.888888888888886
0 days 00:00:28.020000,130.434783,37.068881,33.14436,0.3333333333333333,24.444444444444443,48.888888888888886
0 days 00:00:29.020000,130.434783,37.070283,33.145674,0.3333333333333333,24.444444444444443,48.888888888888886
0 days 00:00:30.020000,136.363636,37.071687,33.146973,0.3333333333333333,24.444444444444443,48.888888888888886
0 days 00:00:31.020000,136.363636,37.073088,33.148294,0.3333333333333333,24.444444444444443,48.888888888888886
0 days 00:00:32.020000,142.857143,37.074485,33.149627,0.3333333333333333,24.444444444444443,48.888888888888886
0 days 00:00:33.020000,142.857143,37.07588,33.15098,0.3333333333333333,24.444444444444443,48.888888888888886
